"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price AUD"
"1","2","255-5794-ND","AQJ212V","SSR RELAY SPST-NO 15A 75-264V","","2","0","36.54000","73.08"
"2","2","1488-1107-1-ND","ACT4060ASH-T","IC REG BUCK ADJUSTABLE 2A 8SOP","","2","0","0.93000","1.86"
"3","2","497-14698-ND","STM32F302R8T6","IC MCU 32BIT 64KB FLASH 64LQFP","","2","0","6.51000","13.02"
"4","3","576-4764-1-ND","MIC5504-3.3YM5-TR","IC REG LINEAR 3.3V 300MA SOT23-5","","3","0","0.16000","0.48"
"5","2","MAX31855KASA+TCT-ND","MAX31855KASA+T","IC CONV THERMOCOUPLE-DGTL 8SOIC","","2","0","9.76000","19.52"
"6","2","NUP2105LT1GOSCT-ND","NUP2105LT1G","TVS DIODE 24V 44V SOT23-3","","2","0","0.70000","1.40"
"7","1","1286-1099-ND","240-080","THERMOCOUPLE WIRE K-TYPE 1M","","1","0","14.96000","14.96"
"8","2","768-1007-1-ND","FT232RL-REEL","IC USB FS SERIAL UART 28-SSOP","","2","0","6.74000","13.48"
"9","2","490-4698-1-ND","PKM13EPYH4000-A0","AUDIO PIEZO TRANSDUCER 30V TH","","2","0","0.90000","1.80"
"10","1","1568-1349-ND","LCD-10168","LCD GRAPHIC 84X48 NOKIA 5110","","1","0","14.90000","14.90"
"11","1","1568-1526-ND","COM-09032","JOYSTICK 10K OHM 2 AXIS TH","","1","0","5.92000","5.92"
"12","10","1276-1109-1-ND","CL21C100JBANNNC","CAP CER 10PF 50V C0G/NP0 0805","","10","0","0.08700","0.87"
"13","2","XC2722CT-ND","ECS-120-10-36Q-AES-TR","CRYSTAL 12MHZ 10PF SMD","","2","0","0.99000","1.98"
"14","3","609-4618-1-ND","10118194-0001LF","CONN RCPT USB2.0 MICRO B SMD R/A","","3","0","0.63000","1.89"
"15","2","497-5235-1-ND","USBLC6-2SC6","TVS DIODE 5.25V 17V SOT23-6","","2","0","0.70000","1.40"
"16","4","SSM6N7002KFULFCT-ND","SSM6N7002KFU,LF","MOSFET 2N-CH 60V 0.3A","","4","0","0.37000","1.48"
"17","10","MMBT3904TPMSCT-ND","MMBT3904-TP","TRANS NPN 40V 0.2A SOT23","","10","0","0.13500","1.35"
"18","10","1276-6736-1-ND","CL31A106MBHNNNE","CAP CER 10UF 50V X5R 1206","","10","0","0.31200","3.12"
"19","10","732-7628-1-ND","885012107018","CAP CER 4.7UF 25V X5R 0805","","10","0","0.24300","2.43"
"20","10","1276-1015-1-ND","CL21B103KBANNNC","CAP CER 10000PF 50V X7R 0805","","10","0","0.06400","0.64"
"21","10","399-1151-1-ND","C0805C222K5RACTU","CAP CER 2200PF 50V X7R 0805","","10","0","0.08100","0.81"
"22","2","SRN8040TA-150MCT-ND","SRN8040TA-150M","FIXED IND 15UH 3.6A 50 MOHM SMD","","2","0","1.11000","2.22"
"23","2","2073-MEM2067-02-180-00-ACT-ND","MEM2067-02-180-00-A","MICRO SD HINGED, SMT, 1.80MM PRO","","2","0","1.78000","3.56"
"24","2","S1012EC-40-ND","PREC040SAAN-RC","CONN HEADER VERT 40POS 2.54MM","","2","0","0.76000","1.52"
"25","2","NRVTSA4100T3GOSCT-ND","NRVTSA4100T3G","DIODE SCHOTTKY 4A 100V SMA-2","","2","0","0.84000","1.68"
"26","2","PTS647SM50SMTR2LFSCT-ND","PTS 647 SM50 SMTR2 LFS","TACT 4.5 X 4.5, 5.0 MM H, 1.8N,","","2","0","0.21000","0.42"
"27","10","732-4984-1-ND","150080RS75000","LED RED CLEAR 0805 SMD","","10","0","0.27000","2.70"
"28","5","732-4986-1-ND","150080VS75000","LED GREEN CLEAR 0805 SMD","","5","0","0.27000","1.35"
"29","5","732-4982-1-ND","150080BS75000","LED BLUE CLEAR 0805 SMD","","5","0","0.27000","1.35"
"30","30","311-270CRCT-ND","RC0805FR-07270RL","RES SMD 270 OHM 1% 1/8W 0805","","30","0","0.06300","1.89"
"31","10","A129763CT-ND","CRGCQ0805F15K","CRGCQ 0805 15K 1%","","10","0","0.07600","0.76"
"32","10","A126380CT-ND","CRG0805F5K6","RES SMD 5.6K OHM 1% 1/8W 0805","","10","0","0.07800","0.78"
"33","10","A106057CT-ND","CRG0805F1K5","RES SMD 1.5K OHM 1% 1/8W 0805","","10","0","0.07800","0.78"
"34","10","RMCF0805FT100KCT-ND","RMCF0805FT100K","RES 100K OHM 1% 1/8W 0805","","10","0","0.04000","0.40"
"35","2","277-1860-ND","1984633","TERM BLK 4POS SIDE ENT 3.5MM PCB","","2","0","1.42000","2.84"
"36","3","277-1721-ND","1984617","TERM BLK 2POS SIDE ENT 3.5MM PCB","","3","0","0.72000","2.16"
"37","2","2057-PH2-20-UA-ND","PH2-20-UA","PIN HEADER 20P 2.54MM PITCH PLUG","","2","0","0.42000","0.84"
"38","4","S7006-ND","PPTC081LFBN-RC","CONN HDR 8POS 0.1 TIN PCB","","4","0","0.97000","3.88"
"39","100","1276-2450-1-ND","CL21B104MBCNNNC","CAP CER 0.1UF 50V X7R 0805","","100","0","0.03000","3.00"